ip,port,status,protocol,updated_at
1.12.55.136,2080,True,socks5,2023-10-13 14:51:34.625376
1.180.0.162,7302,True,socks5,2023-10-13 14:51:34.602074
1.180.49.222,7302,True,socks5,2023-10-13 14:51:34.553286
5.8.18.244,993,True,socks5,2023-10-13 14:51:36.700859
5.56.124.176,8192,True,socks5,2023-10-13 14:51:36.849432
