ip,port,status,protocol,updated_at
1.180.49.222,7302,True,socks5,2023-10-13 13:29:06.098611
5.8.18.244,993,True,socks5,2023-10-13 13:29:08.048368
5.56.124.176,8192,True,socks5,2023-10-13 13:29:07.497017
